timestamp,device,resource_name,resource_type,event_type,severity,event_msg,scenario
2025-10-28T14:00:00Z,edge-router-dc1,Te0/0/1,Interface,INTERFACE_DOWN,Critical,Interface Te0/0/1 is DOWN. No carrier detected.,INTERFACE_DOWN
2025-10-28T14:01:00Z,core-router-dc1,Gi0/1/0,Interface,PACKET_DROP,Minor,Input packet drops on Gi0/1/0: 120 drops/min. Queue congestion.,PACKET_DROP
2025-10-28T14:01:00Z,edge-router-dc1,Te0/0/1,Routing,INTERFACE_DOWN,Critical,OSPF neighbor isp-b-peer lost via Te0/0/1. Adjacency dropped.,INTERFACE_DOWN
2025-10-28T14:02:00Z,core-router-dc2,Gi0/1/1,Interface,INTERFACE_DOWN,Critical,Interface Gi0/1/1 is DOWN. No carrier detected.,INTERFACE_DOWN
2025-10-28T14:02:00Z,edge-router-dc1,Te0/0/1,Routing,INTERFACE_DOWN,Critical,BGP session with isp-b-peer down — interface Te0/0/1 unreachable.,INTERFACE_DOWN
2025-10-28T14:03:00Z,core-router-dc2,Gi0/1/1,Routing,INTERFACE_DOWN,Critical,OSPF neighbor core-router-dc1 lost via Gi0/1/1. Adjacency dropped.,INTERFACE_DOWN
2025-10-28T14:04:00Z,core-router-dc2,Gi0/1/1,Routing,INTERFACE_DOWN,Critical,BGP session with core-router-dc1 down — interface Gi0/1/1 unreachable.,INTERFACE_DOWN
2025-10-28T14:04:00Z,backbone-pe1,Gi0/1/0,Interface,PACKET_DROP,Minor,Input packet drops on Gi0/1/0: 120 drops/min. Queue congestion.,PACKET_DROP
2025-10-28T14:05:00Z,edge-router-dc2,Te0/0/0,Interface,HIGH_UTIL_WARNING,Minor,Interface Te0/0/0 utilization at 55%. Trending upward.,HIGH_UTIL_WARNING
2025-10-28T14:05:00Z,firewall-dc1,CPU,Processor,HIGH_CPU,Minor,CPU usage at 65%. Monitoring elevated load.,HIGH_CPU
2025-10-28T14:06:00Z,core-router-dc1,Gi0/1/0,Interface,PACKET_DROP,Major,Packet drop rate on Gi0/1/0 increasing: 850 drops/min. SLA impact.,PACKET_DROP
2025-10-28T14:06:00Z,core-router-dc1,CPU,Processor,HIGH_CPU,Minor,CPU usage at 65%. Monitoring elevated load.,HIGH_CPU
2025-10-28T14:09:00Z,core-router-dc1,QoS-Policy,QoS,PACKET_DROP,Major,QoS tail drop on Gi0/1/0: BE traffic sacrificed. 3000 pkts/sec dropped.,PACKET_DROP
2025-10-28T14:09:00Z,edge-router-dc2,Te0/0/1,Interface,HIGH_UTIL_WARNING,Minor,Interface Te0/0/1 utilization at 55%. Trending upward.,HIGH_UTIL_WARNING
2025-10-28T14:09:00Z,backbone-pe1,Gi0/1/0,Interface,PACKET_DROP,Major,Packet drop rate on Gi0/1/0 increasing: 850 drops/min. SLA impact.,PACKET_DROP
2025-10-28T14:10:00Z,edge-router-dc2,Te0/0/0,Interface,HIGH_UTIL_WARNING,Minor,Interface Te0/0/0 utilization at 65%. Above warning threshold.,HIGH_UTIL_WARNING
2025-10-28T14:10:00Z,firewall-dc1,CPU,Processor,HIGH_CPU,Major,CPU usage reached 78%. Process scheduling impacted.,HIGH_CPU
2025-10-28T14:11:00Z,core-router-dc1,Gi0/1/0,Interface,PACKET_DROP,Major,Output queue drops on Gi0/1/0: 600 drops/min — transmit ring full.,PACKET_DROP
2025-10-28T14:11:00Z,core-router-dc1,CPU,Processor,HIGH_CPU,Major,CPU usage reached 78%. Process scheduling impacted.,HIGH_CPU
2025-10-28T14:12:00Z,access-switch-floor2,Gi0/1,Interface,INTERFACE_DOWN,Critical,Interface Gi0/1 is DOWN. No carrier detected.,INTERFACE_DOWN
2025-10-28T14:12:00Z,backbone-pe1,QoS-Policy,QoS,PACKET_DROP,Major,QoS tail drop on Gi0/1/0: BE traffic sacrificed. 3000 pkts/sec dropped.,PACKET_DROP
2025-10-28T14:13:00Z,core-router-dc1,Gi0/1/0,Interface,PACKET_DROP,Critical,Critical packet loss on Gi0/1/0: 4200 drops/min. Blackholing risk.,PACKET_DROP
